song_id,artist,title,year,tag
137,Tempvra,Im a reject,2017,rap
138,Del The Funky Homosapien,Get It Right Now,2009,rap
139,Pablo M.,Humping,2013,rap
140,Swish Da God,Geez,2020,rap
141,Lil Gotit,I Told Em,2019,rap
142,Ill Intent,Shady 2.0 Cypher Freestyle,2014,rap
143,Softheart,Running In Circles,2020,rap
144,Fabolous,Baby Dont Go,2007,rap
145,Loose,They Forgot,2019,rap
146,Funky DL,Dennisms,2019,rap
147,Sinderella Mann,Old.Person.Syndrome.O.P.S.,2020,rap
148,Kenny Golder Jr.,Was Never Cool,2019,rap
149,Swaghollywood,Animae,2020,rap
150,Wax & Herbal T,Wax and Herbal T get FUNKYFRESH,2022,rap
151,Flacco,Drifting Through the Sequoia Grove,2016,rap
152,Prezidential Candidates,Awesome Remix,2011,rap
153,theo (FR),MELIAMOTH,2020,rap
154,Tommy G,My Time,2016,rap
155,Bounty Killer,Fed Up,1996,rap
156,666laughter,Nightim6,2021,rap
157,Melvin boy x Pablo,Forever,2015,rap
158,Young Finch,Add It Up,2017,rap
159,Vandalyzm,Sole,2010,rap
160,Van Roy Asylum,From the Machine,2020,rap
161,No Genre,This Christmas,2016,rap
162,Cadenza,When Will I Stop Dreaming,2015,rap
163,White Acid,End of Discussion,2019,rap
164,Suave Sterling,Guess,2018,rap
165,Charles Hamilton,Sega Police,2013,rap
166,DirtBoys,Feel Like Dyin,2018,rap
167,T-Time,KODO BOOGIE,2015,rap
168,Ataah King,Foreword Backwoods,2015,rap
169,Trippie Redd,Everything BoZ,2019,rap
170,DJ Holiday,So Many Tears,2015,rap
171,Yahto Bank,Winn Dixie,2020,rap
172,Pick Patek,Mirror / Her Song,2018,rap
173,Abhi,Buckets,2018,rap
174,Niq,Better Together,2021,rap
175,Sethii Shmactt,Fraud,2018,rap
176,Eddie DeShaun,Sky High,2013,rap
177,Prince Scooter,Gotta Go,2017,rap
178,KevinKempt,Schoolastic book fair 2,2020,rap
179,Chiddy Bang,Decline,2009,rap
180,Lewi$ Gold,ON $WOLE,2018,rap
181,Lil Freaky,Dreams,2017,rap
182,Young Dolph,Heavy n da Streets,2010,rap
183,Jay Stud,Im Gone,2020,rap
184,Ojmosfhgry,Boomer Humor,2019,rap
185,Future,Reward It,2020,rap
186,Ylti,BEAUTIFUL,2016,rap
187,indigomerkaba,PSA 2021 24KaratKev,2021,rap
188,Aaron Fraser-Nash,Ozzie Ostrich Sings A Song,2021,rap
189,Venom of ifame,Happy Birthday,2020,rap
190,FCG Heem,OTW,2020,rap
191,Innoss'B,Big Afrika,2013,rap
192,Dizraeli,Fever Timothy Is Everywhere,2019,rap
193,Lil Kar$,VIBE,2021,rap
194,777Arcane,CØLD,2020,rap
195,The SHRINE,Demon World,2021,rap
196,BabyLee,Triumphal Arch,2013,rap
197,Stevie Stone,1 OClock Jump,2013,rap
198,Monty,Im On,2012,rap
199,Doestax,Finest,2021,rap
200,Lhomelessm,Worth it,2021,rb
201,Radio Rell,Shawty on fleek,2015,rb
202,Prey (preye_itams),Mortia,2015,rb
203,Waje,Udue,2018,rb
204,Janine,Be By Myself,2018,rb
205,Carl Anderson,It’s the Love,1984,rb
206,R.LUM.R,Circles,2019,rb
207,RUSSELL!,Fallin’ in Love,2022,rb
208,AOE,Im Right This Time,2017,rb
209,Angela Muoz,Top Down,2020,rb
210,Gavin Whyte,Codeine love,2021,rb
211,Nylo,I Use,2015,rb
212,Judgement Of Yesterday,BLVCK VINYL,2014,rb
213,Savage Rapscallion,I love hating you,2021,rb
214,Svn. The. Singer.,Wave,2016,rb
215,Ailani,Imagine Your Body,2021,rb
216,Realnev,Silent Sounds,2022,rb
217,Inez Richardson,Love Will Find A Way,1921,rb
218,Lawrence,Shot,2016,rb
219,Lil Mosey,So Bad,2016,rb
220,IndigoChildRick,Trippin,2020,rb
221,Bobby Taylor,Out in the Country,1969,rb
222,John Lee Hooker,Lost a Good Girl,1962,rb
223,Your Grandparents,My Only One,2019,rb
224,czyby,​put in the grave,2020,rb
225,McKurry,Simbisa Strengthen,2020,rb
226,Zen Adler,Desire,2020,rb
227,Keke Palmer,Number One,2016,rb
228,Robin Thicke,All Night Long,2006,rb
